8.982835632541474880e-02 8.982835632541474880e-01
5.514968341701025345e-01 8.880033770535548099e-01
9.631801353927544884e-01 8.433374457355913290e-01
1.207675807922068856e+00 7.261341883075728143e-01
1.331747599242304458e+00 6.097157683278019435e-01
1.416586434593733790e+00 5.236408999470999470e-01
1.481916675131758065e+00 4.593216448206100533e-01
1.527062794758128783e+00 4.075027120843320305e-01
1.567847213764089309e+00 3.673131573553353180e-01
1.736701227749799958e+00 3.626079486510571104e-01
1.925639053625876729e+00 3.626079486510569994e-01
2.114576879501953943e+00 3.626079486510570549e-01
2.303514705378031380e+00 3.626079486510571104e-01
2.492452531254107484e+00 3.626079486510569438e-01
2.681390357130184476e+00 3.626079486510569438e-01
2.870328183006261913e+00 3.626079486510569994e-01
3.059266008882340238e+00 3.626079486510571104e-01
3.248203834758415454e+00 3.626079486510569438e-01
3.437141660634492890e+00 3.626079486510569438e-01
3.626079486510570327e+00 3.626079486510570549e-01
