9.107355750446900766e-02 9.111601114273071289e-01
4.679247254444843795e-01 9.076238870620727539e-01
8.339926640213326525e-01 8.956636786460876465e-01
1.150383054621991308e+00 8.541979193687438965e-01
1.365004449894692273e+00 7.745425105094909668e-01
1.275648808148119429e+00 5.857155919075012207e-01
1.307183210558455988e+00 5.040174126625061035e-01
1.322802197515914546e+00 4.395971596240997314e-01
1.365549001799948314e+00 3.987331092357635498e-01
1.433517245777908622e+00 3.732811510562896729e-01
1.547287792284449237e+00 3.635620772838592529e-01
1.698382644683054110e+00 3.635620772838592529e-01
1.849477193866731151e+00 3.635620176792144775e-01
2.000572513473446890e+00 3.635621070861816406e-01
2.151666849121067759e+00 3.635620176792144775e-01
