8.134103046523936953e-02 8.134103046523937230e-01
4.991494376463387894e-01 8.037151962102064839e-01
8.918746027231814200e-01 7.809040300341217877e-01
1.241473036420277953e+00 7.464553067083947724e-01
1.541264031750866570e+00 7.056389542955773253e-01
1.794569266405268371e+00 6.633621801887178426e-01
2.010295580418031136e+00 6.230932467853602663e-01
2.197880393773068430e+00 5.865130264282063521e-01
2.364080482318028142e+00 5.538536271768499386e-01
2.512055626743411985e+00 5.244951308585146244e-01
2.641860774703239212e+00 4.974762608460014390e-01
2.766947798192926466e+00 4.744766079933718794e-01
2.877661487649578298e+00 4.529873095720131637e-01
2.983352743674365648e+00 4.340252843017836093e-01
3.077072227906687552e+00 4.161165290407620176e-01
3.172891928356098123e+00 4.008307622258368563e-01
3.256065885099485691e+00 3.859341972357468453e-01
3.337628377093369014e+00 3.725907118964395526e-01
3.437329015749130523e+00 3.626277140434951418e-01
3.626121269926333213e+00 3.626121269926332880e-01
