8.127673598207724170e-02 8.127673598207724170e-01
4.816748132305213037e-01 7.755780890999918187e-01
7.777254528934641753e-01 6.809577698145536928e-01
9.668067846838314106e-01 5.813078768668604734e-01
1.100376403208054521e+00 5.037867870109163926e-01
1.205786756429167550e+00 4.457188399251786337e-01
1.289824423778771711e+00 3.997824478270254334e-01
1.362734155656217805e+00 3.636509685037659367e-01
1.547763407831249438e+00 3.626079500467785377e-01
1.736701227753305821e+00 3.626079486517891359e-01
1.925639053625876729e+00 3.626079486510569994e-01
2.114576879501953943e+00 3.626079486510570549e-01
2.303514705378030047e+00 3.626079486510568883e-01
2.492452531254107484e+00 3.626079486510569438e-01
2.681390357130185809e+00 3.626079486510571104e-01
2.870328183006261913e+00 3.626079486510569994e-01
3.059266008882340238e+00 3.626079486510571104e-01
3.248203834758416786e+00 3.626079486510571104e-01
3.437141660634493778e+00 3.626079486510569994e-01
3.626079486510570327e+00 3.626079486510570549e-01
