7.974231109559254405e-02 7.974231109559253294e-01
4.916215671504955975e-01 7.915940488016454113e-01
8.883491864453665343e-01 7.778172600212884813e-01
1.256403435307469341e+00 7.554324452798074629e-01
1.586298921688641173e+00 7.262573376405825343e-01
1.874507119805110644e+00 6.929111921458579459e-01
2.125210307539076471e+00 6.587111883073808460e-01
2.345362771523111789e+00 6.258692789176841798e-01
2.541112724909031506e+00 5.953285052191319426e-01
2.715906731866706725e+00 5.670574495106310842e-01
2.871114933866234065e+00 5.406460232255544396e-01
3.022178662656072490e+00 5.182436334879546580e-01
3.153727685928959357e+00 4.964442919026531009e-01
3.283757165627666730e+00 4.777288372658933246e-01
3.396082950899450115e+00 4.592567691607797320e-01
3.513829246699214703e+00 4.439013011122677765e-01
3.619771553475281234e+00 4.290434155709940134e-01
3.717143784243819749e+00 4.149572967134699253e-01
3.859417843826445260e+00 4.071567964058992461e-01
4.071002732918179490e+00 4.071002732918179157e-01
