nan nan
2.271567285060882568e-01 9.124184125550760527e-02
4.442269504070281982e-01 1.114177683146373443e-01
5.784783363342285156e-01 2.285841420914503930e-01
6.415072679519653320e-01 3.584000708682366643e-01
6.679836511611938477e-01 4.655358906664303076e-01
6.522758007049560547e-01 5.650866551179896113e-01
6.945226192474365234e-01 6.030726067890759268e-01
7.090319395065307617e-01 6.454328229266376171e-01
7.114837169647216797e-01 6.837393396680894186e-01
7.265887260437011719e-01 7.093225293450715618e-01
7.154750823974609375e-01 7.397896626530923170e-01
8.080393075942994274e-01 7.306146589508833999e-01
9.005998373031617321e-01 7.228523315172491470e-01
9.931600093841552734e-01 7.161990101968556122e-01
1.085720181465148926e+00 7.104327983858478301e-01
1.178280711174011230e+00 7.053872736313347991e-01
1.270841121673583984e+00 7.009353680777076212e-01
1.363401532173156738e+00 6.969781186967056730e-01
1.455961465835571289e+00 6.934375222833952801e-01
1.548518896102905273e+00 6.902514862627515679e-01
1.640953063964843528e+00 6.873923641887932368e-01
1.733642816543578880e+00 6.847466856426132065e-01
1.826203346252441406e+00 6.823535428891795984e-01
1.918763637542724609e+00 6.801598684407015316e-01
