8.068801568537048441e-02 8.072562813758850098e-01
4.132604715181565913e-01 8.015927672386169434e-01
7.323886753099246860e-01 7.865464091300964355e-01
1.019837989290628855e+00 7.572638392448425293e-01
1.247205591313290673e+00 7.077000737190246582e-01
1.407519946811696787e+00 6.462643742561340332e-01
1.522839303100363972e+00 5.871690511703491211e-01
1.613820809945844426e+00 5.363092422485351562e-01
1.686115305394945363e+00 4.923367798328399658e-01
1.747944634220336413e+00 4.551565647125244141e-01
1.798661197848353321e+00 4.226266145706176758e-01
1.846438288722060728e+00 3.952554166316986084e-01
1.887786883995794085e+00 3.710927665233612061e-01
2.000579893166662959e+00 3.635634481906890869e-01
2.151667378257770658e+00 3.635621070861816406e-01
2.302778665563976368e+00 3.635646998882293701e-01
2.453874809056136197e+00 3.635647296905517578e-01
2.604971190855788876e+00 3.635647892951965332e-01
2.756065137058796743e+00 3.635645210742950439e-01
2.907162673238758543e+00 3.635647296905517578e-01
