8.719931802870280191e-02 8.719931802870278803e-01
5.351251092698572354e-01 8.616421250955329514e-01
9.429428914058672895e-01 8.256181998484550810e-01
1.227785472898551111e+00 7.382254425655844221e-01
1.391781541517510767e+00 6.372011876827156085e-01
1.501934144393638704e+00 5.551896642700220319e-01
1.581329665945859775e+00 4.901348067368895833e-01
1.650161923926770191e+00 4.403521988006829924e-01
1.705340122631409328e+00 3.995248129469393117e-01
1.751581006428871046e+00 3.657147156280060596e-01
1.925639053625875396e+00 3.626079486510567773e-01
2.114576879501953499e+00 3.626079486510569438e-01
2.303514705378030492e+00 3.626079486510569438e-01
2.492452531254108372e+00 3.626079486510570549e-01
2.681390357130184920e+00 3.626079486510570549e-01
2.870328183006261469e+00 3.626079486510569438e-01
3.059266008882338461e+00 3.626079486510569438e-01
3.248203834758415010e+00 3.626079486510568883e-01
3.437141660634493334e+00 3.626079486510570549e-01
3.626079486510571659e+00 3.626079486510571659e-01
