# Equilibrium Gap and Current vs Vector Potential
# Generated: 2026-06-09 20:38:19
# T = 0.3, T_c = 1.0, eta = 0.3
# time_sampling = 200, time_duration = 100.0
#
# Columns: A  Re(Gap)  Im(Gap)  |Gap|  Re(Current)  Im(Current)  |Current|  Gap_Error
#----------------------------------------------------------------------------------------------------
    0.000000  1.363120e+00  -0.000000e+00  1.363120e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.220446e-16
    0.047368  1.363120e+00  -0.000000e+00  1.363120e+00  -4.549839e-02  2.096868e-05  4.549840e-02  2.220446e-16
    0.094737  1.363120e+00  -0.000000e+00  1.363120e+00  -9.099679e-02  4.193735e-05  9.099680e-02  2.220446e-16
    0.142105  1.363120e+00  -0.000000e+00  1.363120e+00  -1.364952e-01  6.290603e-05  1.364952e-01  2.220446e-16
    0.189474  1.363120e+00  -0.000000e+00  1.363120e+00  -1.819936e-01  8.387471e-05  1.819936e-01  2.220446e-16
    0.236842  1.363120e+00  -0.000000e+00  1.363120e+00  -2.274920e-01  1.048434e-04  2.274920e-01  2.220446e-16
    0.284211  1.363120e+00  -0.000000e+00  1.363120e+00  -2.729904e-01  1.258121e-04  2.729904e-01  2.220446e-16
    0.331579  1.363120e+00  -0.000000e+00  1.363120e+00  -3.184888e-01  1.467807e-04  3.184888e-01  2.220446e-16
    0.378947  1.363120e+00  -0.000000e+00  1.363120e+00  -3.639872e-01  1.677494e-04  3.639872e-01  2.220446e-16
    0.426316  1.363120e+00  -0.000000e+00  1.363120e+00  -4.094856e-01  1.887181e-04  4.094856e-01  2.220446e-16
    0.473684  1.363120e+00  -0.000000e+00  1.363120e+00  -4.549839e-01  2.096868e-04  4.549840e-01  2.220446e-16
    0.521053  1.363120e+00  -0.000000e+00  1.363120e+00  -5.004823e-01  2.306554e-04  5.004824e-01  2.220446e-16
    0.568421  1.363120e+00  -0.000000e+00  1.363120e+00  -5.459807e-01  2.516241e-04  5.459808e-01  2.220446e-16
    0.615789  1.363120e+00  -0.000000e+00  1.363120e+00  -5.914791e-01  2.725928e-04  5.914792e-01  2.220446e-16
    0.663158  1.363120e+00  -0.000000e+00  1.363120e+00  -6.369775e-01  2.935615e-04  6.369776e-01  2.220446e-16
    0.710526  1.363120e+00  -0.000000e+00  1.363120e+00  -6.824759e-01  3.145302e-04  6.824760e-01  2.220446e-16
    0.757895  1.363120e+00  -0.000000e+00  1.363120e+00  -7.279743e-01  3.354988e-04  7.279744e-01  2.220446e-16
    0.805263  1.363120e+00  -0.000000e+00  1.363120e+00  -7.734727e-01  3.564675e-04  7.734728e-01  2.220446e-16
    0.852632  1.363120e+00  -0.000000e+00  1.363120e+00  -8.189711e-01  3.774362e-04  8.189712e-01  2.220446e-16
    0.900000  1.363120e+00  -0.000000e+00  1.363120e+00  -8.644695e-01  3.984049e-04  8.644696e-01  2.220446e-16
