# Equilibrium Gap vs Temperature
# Generated: 2026-06-24 10:47:02
# T_c = 1.0, eta = 0.1
# time_sampling = 1501, time_duration = 188.49555921538757
#
# Columns: Temperature  Re(Gap)  Im(Gap)  |Gap|  Error
#--------------------------------------------------------------------
    0.100000  1.659453e+00  -0.000000e+00  1.659453e+00  2.220446e-16
    0.137931  1.658794e+00  -0.000000e+00  1.658794e+00  0.000000e+00
    0.175862  1.657728e+00  -0.000000e+00  1.657728e+00  2.220446e-16
    0.213793  1.655861e+00  -0.000000e+00  1.655861e+00  0.000000e+00
    0.251724  1.652552e+00  -0.000000e+00  1.652552e+00  2.220446e-16
    0.289655  1.647028e+00  -0.000000e+00  1.647028e+00  2.220446e-16
    0.327586  1.638506e+00  -0.000000e+00  1.638506e+00  0.000000e+00
    0.365517  1.626260e+00  -0.000000e+00  1.626260e+00  0.000000e+00
    0.403448  1.609625e+00  -0.000000e+00  1.609625e+00  0.000000e+00
    0.441379  1.587985e+00  -0.000000e+00  1.587985e+00  2.220446e-16
    0.479310  1.560741e+00  -0.000000e+00  1.560741e+00  2.220446e-16
    0.517241  1.527269e+00  -0.000000e+00  1.527269e+00  2.220446e-16
    0.555172  1.486881e+00  -0.000000e+00  1.486881e+00  4.440892e-16
    0.593103  1.438769e+00  -0.000000e+00  1.438769e+00  0.000000e+00
    0.631034  1.381933e+00  -0.000000e+00  1.381933e+00  4.440892e-16
    0.668966  1.315075e+00  -0.000000e+00  1.315075e+00  0.000000e+00
    0.706897  1.236420e+00  -0.000000e+00  1.236420e+00  2.220446e-16
    0.744828  1.143397e+00  -0.000000e+00  1.143397e+00  0.000000e+00
    0.782759  8.802736e-01  -0.000000e+00  8.802736e-01  0.000000e+00
    0.820690  8.952709e-01  -0.000000e+00  8.952709e-01  2.220446e-16
    0.858621  7.187515e-01  -0.000000e+00  7.187515e-01  0.000000e+00
    0.896552  4.584011e-01  -0.000000e+00  4.584011e-01  0.000000e+00
    0.934483  6.910100e-13  -0.000000e+00  6.910100e-13  0.000000e+00
    0.972414  -1.736852e+00  0.000000e+00  1.736852e+00  2.220446e-16
    1.010345  -1.285438e-13  0.000000e+00  1.285438e-13  0.000000e+00
    1.048276  2.871778e-20  -0.000000e+00  2.871778e-20  6.018531e-36
    1.086207  2.345287e-12  -0.000000e+00  2.345287e-12  4.038968e-28
    1.124138  -1.272715e-18  0.000000e+00  1.272715e-18  0.000000e+00
    1.162069  1.426936e-14  -0.000000e+00  1.426936e-14  0.000000e+00
    1.200000  -3.246488e-25  0.000000e+00  3.246488e-25  9.183550e-41
