# Equilibrium Gap vs Temperature
# Generated: 2026-06-09 20:52:41
# T_c = 1.0, eta = 0.2
# time_sampling = 1501, time_duration = 31.41592653589793
#
# Columns: Temperature  Re(Gap)  Im(Gap)  |Gap|  Error
#--------------------------------------------------------------------
    0.100000  1.551470e+00  -0.000000e+00  1.551470e+00  2.220446e-16
    0.150000  1.549104e+00  -0.000000e+00  1.549104e+00  2.220446e-16
    0.200000  1.544764e+00  -0.000000e+00  1.544764e+00  0.000000e+00
    0.250000  1.536816e+00  -0.000000e+00  1.536816e+00  0.000000e+00
    0.300000  1.523232e+00  -0.000000e+00  1.523232e+00  2.220446e-16
    0.350000  1.502144e+00  -0.000000e+00  1.502144e+00  0.000000e+00
    0.400000  1.472411e+00  -0.000000e+00  1.472411e+00  2.220446e-16
    0.450000  1.433547e+00  -0.000000e+00  1.433547e+00  4.440892e-16
    0.500000  1.383362e+00  -0.000000e+00  1.383362e+00  2.220446e-16
    0.550000  1.315224e+00  -0.000000e+00  1.315224e+00  0.000000e+00
    0.600000  1.231392e+00  -0.000000e+00  1.231392e+00  4.440892e-16
    0.650000  1.126999e+00  -0.000000e+00  1.126999e+00  0.000000e+00
    0.700000  9.940243e-01  -0.000000e+00  9.940243e-01  1.110223e-16
    0.750000  8.154948e-01  -0.000000e+00  8.154948e-01  0.000000e+00
    0.800000  5.570663e-01  -0.000000e+00  5.570663e-01  1.110223e-16
    0.850000  7.146718e-06  -0.000000e+00  7.146718e-06  8.470329e-22
    0.900000  7.518289e-10  -0.000000e+00  7.518289e-10  1.033976e-25
    0.950000  -1.461281e-07  0.000000e+00  1.461281e-07  2.646978e-23
    1.000000  -1.091967e-11  0.000000e+00  1.091967e-11  1.615587e-27
    1.050000  6.592105e-11  -0.000000e+00  6.592105e-11  1.292470e-26
    1.100000  9.000812e-12  -0.000000e+00  9.000812e-12  0.000000e+00
    1.150000  -6.238111e-12  0.000000e+00  6.238111e-12  0.000000e+00
    1.200000  -3.049103e-14  0.000000e+00  3.049103e-14  0.000000e+00
    1.250000  1.208003e-12  -0.000000e+00  1.208003e-12  2.019484e-28
    1.300000  -4.485490e-12  0.000000e+00  4.485490e-12  0.000000e+00
