# Equilibrium Gap and Current vs Vector Potential
# Generated: 2026-06-10 10:41:50
# T = 0.3, T_c = 1.0, eta = 0.2
# time_sampling = 1501, time_duration = 31.41592653589793
#
# Columns: A  Re(Gap)  Im(Gap)  |Gap|  Re(Current)  Im(Current)  |Current|  Gap_Error
#----------------------------------------------------------------------------------------------------
    0.000000  1.523232e+00  -0.000000e+00  1.523232e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.220446e-16
    0.047368  1.521122e+00  -0.000000e+00  1.521122e+00  2.014694e-01  0.000000e+00  2.014694e-01  2.220446e-16
    0.094737  1.516203e+00  -0.000000e+00  1.516203e+00  4.017825e-01  0.000000e+00  4.017825e-01  0.000000e+00
    0.142105  1.508152e+00  -0.000000e+00  1.508152e+00  5.981638e-01  0.000000e+00  5.981638e-01  2.220446e-16
    0.189474  1.495319e+00  -0.000000e+00  1.495319e+00  7.858315e-01  0.000000e+00  7.858315e-01  0.000000e+00
    0.236842  1.479962e+00  -0.000000e+00  1.479962e+00  9.670996e-01  0.000000e+00  9.670996e-01  2.220446e-16
    0.284211  1.459102e+00  -0.000000e+00  1.459102e+00  1.133133e+00  0.000000e+00  1.133133e+00  4.440892e-16
    0.331579  1.434059e+00  -0.000000e+00  1.434059e+00  1.284354e+00  0.000000e+00  1.284354e+00  4.440892e-16
    0.378947  1.407333e+00  -0.000000e+00  1.407333e+00  1.427852e+00  0.000000e+00  1.427852e+00  2.220446e-16
    0.426316  1.356100e+00  -0.000000e+00  1.356100e+00  1.489029e+00  0.000000e+00  1.489029e+00  2.220446e-16
    0.473684  1.690203e-02  -0.000000e+00  1.690203e-02  -1.176354e-01  0.000000e+00  1.176354e-01  3.469447e-18
    0.521053  9.964421e-01  -0.000000e+00  9.964421e-01  8.604541e-01  0.000000e+00  8.604541e-01  3.330669e-16
    0.568421  7.867688e-03  -0.000000e+00  7.867688e-03  -8.406351e-03  0.000000e+00  8.406351e-03  1.734723e-18
    0.615789  1.805692e-01  -0.000000e+00  1.805692e-01  -1.489322e-01  0.000000e+00  1.489322e-01  0.000000e+00
    0.663158  -1.344118e-07  0.000000e+00  1.344118e-07  -7.880405e-08  0.000000e+00  7.880405e-08  2.646978e-23
    0.710526  -2.882438e-05  0.000000e+00  2.882438e-05  1.662793e-06  0.000000e+00  1.662793e-06  3.388132e-21
    0.757895  2.509542e-06  -0.000000e+00  2.509542e-06  -2.126939e-06  0.000000e+00  2.126939e-06  4.235165e-22
    0.805263  -3.343927e-08  0.000000e+00  3.343927e-08  -3.354765e-08  0.000000e+00  3.354765e-08  0.000000e+00
    0.852632  1.684469e-07  -0.000000e+00  1.684469e-07  1.183735e-07  0.000000e+00  1.183735e-07  2.646978e-23
    0.900000  -1.459462e-15  0.000000e+00  1.459462e-15  -5.093042e-16  0.000000e+00  5.093042e-16  1.972152e-31
