# Equilibrium Gap vs Temperature
# Generated: 2026-06-09 20:36:06
# T_c = 1.0, eta = 0.3
# time_sampling = 200, time_duration = 100.0
#
# Columns: Temperature  Re(Gap)  Im(Gap)  |Gap|  Error
#--------------------------------------------------------------------
    0.100000  1.408728e+00  -0.000000e+00  1.408728e+00  2.220446e-16
    0.150000  1.404352e+00  -0.000000e+00  1.404352e+00  0.000000e+00
    0.200000  1.396592e+00  -0.000000e+00  1.396592e+00  2.220446e-16
    0.250000  1.383529e+00  -0.000000e+00  1.383529e+00  0.000000e+00
    0.300000  1.363120e+00  -0.000000e+00  1.363120e+00  2.220446e-16
    0.350000  1.333455e+00  -0.000000e+00  1.333455e+00  2.220446e-16
    0.400000  1.292687e+00  -0.000000e+00  1.292687e+00  2.220446e-16
    0.450000  1.238818e+00  -0.000000e+00  1.238818e+00  2.220446e-16
    0.500000  1.169351e+00  -0.000000e+00  1.169351e+00  0.000000e+00
    0.550000  1.080752e+00  -0.000000e+00  1.080752e+00  2.220446e-16
    0.600000  9.673511e-01  -0.000000e+00  9.673511e-01  2.220446e-16
    0.650000  8.185426e-01  -0.000000e+00  8.185426e-01  0.000000e+00
    0.700000  6.085518e-01  -0.000000e+00  6.085518e-01  1.110223e-16
    0.750000  1.908942e-01  -0.000000e+00  1.908942e-01  2.775558e-17
    0.800000  2.352185e-10  -0.000000e+00  2.352185e-10  5.169879e-26
    0.850000  1.760042e-13  -0.000000e+00  1.760042e-13  0.000000e+00
    0.900000  -1.494226e-11  0.000000e+00  1.494226e-11  0.000000e+00
    0.950000  -2.206343e-12  0.000000e+00  2.206343e-12  4.038968e-28
    1.000000  -5.037175e-08  0.000000e+00  5.037175e-08  0.000000e+00
    1.050000  -5.172210e-09  0.000000e+00  5.172210e-09  8.271806e-25
    1.100000  8.233733e-10  -0.000000e+00  8.233733e-10  1.033976e-25
    1.150000  9.668274e-09  -0.000000e+00  9.668274e-09  1.654361e-24
    1.200000  -2.187585e-12  0.000000e+00  2.187585e-12  4.038968e-28
    1.250000  4.805296e-12  -0.000000e+00  4.805296e-12  0.000000e+00
    1.300000  5.861683e-11  -0.000000e+00  5.861683e-11  1.292470e-26
