# Equilibrium Gap and Current vs Vector Potential
# Generated: 2026-06-24 10:56:11
# T = 0.5, T_c = 1.0, eta = 0.1
# time_sampling = 1501, time_duration = 188.49555921538757
#
# Columns: A  Re(Gap)  Im(Gap)  |Gap|  Re(Current)  Im(Current)  |Current|  Gap_Error
#----------------------------------------------------------------------------------------------------
    0.000000  1.543297e+00  -0.000000e+00  1.543297e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.220446e-16
    0.047368  1.537645e+00  -0.000000e+00  1.537645e+00  1.974981e-01  0.000000e+00  1.974981e-01  2.220446e-16
    0.094737  1.520437e+00  -0.000000e+00  1.520437e+00  3.869240e-01  0.000000e+00  3.869240e-01  4.440892e-16
    0.142105  1.490883e+00  -0.000000e+00  1.490883e+00  5.597713e-01  0.000000e+00  5.597713e-01  2.220446e-16
    0.189474  1.447501e+00  -0.000000e+00  1.447501e+00  7.065992e-01  0.000000e+00  7.065992e-01  2.220446e-16
    0.236842  1.387806e+00  -0.000000e+00  1.387806e+00  8.163872e-01  0.000000e+00  8.163872e-01  0.000000e+00
    0.284211  1.307681e+00  -0.000000e+00  1.307681e+00  8.756334e-01  0.000000e+00  8.756334e-01  2.220446e-16
    0.331579  1.200030e+00  -0.000000e+00  1.200030e+00  8.670218e-01  0.000000e+00  8.670218e-01  4.440892e-16
    0.378947  1.051410e+00  -0.000000e+00  1.051410e+00  7.673781e-01  0.000000e+00  7.673781e-01  0.000000e+00
    0.426316  8.309055e-01  -0.000000e+00  8.309055e-01  5.444315e-01  0.000000e+00  5.444315e-01  0.000000e+00
    0.473684  4.137343e-01  -0.000000e+00  4.137343e-01  1.515570e-01  0.000000e+00  1.515570e-01  5.551115e-17
    0.521053  2.944685e-07  -0.000000e+00  2.944685e-07  -5.370116e-14  0.000000e+00  5.370116e-14  5.293956e-23
    0.568421  3.264787e-06  -0.000000e+00  3.264787e-06  -2.245478e-11  0.000000e+00  2.245478e-11  4.235165e-22
    0.615789  -3.006628e-02  0.000000e+00  3.006628e-02  3.786435e-02  0.000000e+00  3.786435e-02  0.000000e+00
    0.663158  -1.280820e-02  0.000000e+00  1.280820e-02  1.913487e-02  0.000000e+00  1.913487e-02  3.469447e-18
    0.710526  -5.568678e-03  0.000000e+00  5.568678e-03  1.672627e-02  0.000000e+00  1.672627e-02  0.000000e+00
    0.757895  -3.564730e-03  0.000000e+00  3.564730e-03  1.130668e-02  0.000000e+00  1.130668e-02  4.336809e-19
    0.805263  2.005921e-04  -0.000000e+00  2.005921e-04  3.869453e-04  0.000000e+00  3.869453e-04  2.710505e-20
    0.852632  7.784622e-12  -0.000000e+00  7.784622e-12  2.520622e-19  0.000000e+00  2.520622e-19  1.615587e-27
    0.900000  -1.069124e-03  0.000000e+00  1.069124e-03  3.661187e-03  0.000000e+00  3.661187e-03  2.168404e-19
