# Equilibrium Gap and Current vs Vector Potential
# Generated: 2026-06-09 21:07:05
# T = 0.3, T_c = 1.0, eta = 0.2
# time_sampling = 1501, time_duration = 31.41592653589793
#
# Columns: A  Re(Gap)  Im(Gap)  |Gap|  Re(Current)  Im(Current)  |Current|  Gap_Error
#----------------------------------------------------------------------------------------------------
    0.000000  1.523232e+00  -0.000000e+00  1.523232e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.220446e-16
    0.047368  1.523232e+00  -0.000000e+00  1.523232e+00  -4.383124e-02  3.532731e-18  4.383124e-02  2.220446e-16
    0.094737  1.523232e+00  -0.000000e+00  1.523232e+00  -8.766247e-02  7.065463e-18  8.766247e-02  2.220446e-16
    0.142105  1.523232e+00  -0.000000e+00  1.523232e+00  -1.314937e-01  1.059819e-17  1.314937e-01  2.220446e-16
    0.189474  1.523232e+00  -0.000000e+00  1.523232e+00  -1.753249e-01  1.413093e-17  1.753249e-01  2.220446e-16
    0.236842  1.523232e+00  -0.000000e+00  1.523232e+00  -2.191562e-01  1.766366e-17  2.191562e-01  2.220446e-16
    0.284211  1.523232e+00  -0.000000e+00  1.523232e+00  -2.629874e-01  2.119639e-17  2.629874e-01  2.220446e-16
    0.331579  1.523232e+00  -0.000000e+00  1.523232e+00  -3.068187e-01  2.472912e-17  3.068187e-01  2.220446e-16
    0.378947  1.523232e+00  -0.000000e+00  1.523232e+00  -3.506499e-01  2.826185e-17  3.506499e-01  2.220446e-16
    0.426316  1.523232e+00  -0.000000e+00  1.523232e+00  -3.944811e-01  3.179458e-17  3.944811e-01  2.220446e-16
    0.473684  1.523232e+00  -0.000000e+00  1.523232e+00  -4.383124e-01  3.532731e-17  4.383124e-01  2.220446e-16
    0.521053  1.523232e+00  -0.000000e+00  1.523232e+00  -4.821436e-01  3.886005e-17  4.821436e-01  2.220446e-16
    0.568421  1.523232e+00  -0.000000e+00  1.523232e+00  -5.259748e-01  4.239278e-17  5.259748e-01  2.220446e-16
    0.615789  1.523232e+00  -0.000000e+00  1.523232e+00  -5.698061e-01  4.592551e-17  5.698061e-01  2.220446e-16
    0.663158  1.523232e+00  -0.000000e+00  1.523232e+00  -6.136373e-01  4.945824e-17  6.136373e-01  2.220446e-16
    0.710526  1.523232e+00  -0.000000e+00  1.523232e+00  -6.574686e-01  5.299097e-17  6.574686e-01  2.220446e-16
    0.757895  1.523232e+00  -0.000000e+00  1.523232e+00  -7.012998e-01  5.652370e-17  7.012998e-01  2.220446e-16
    0.805263  1.523232e+00  -0.000000e+00  1.523232e+00  -7.451310e-01  6.005643e-17  7.451310e-01  2.220446e-16
    0.852632  1.523232e+00  -0.000000e+00  1.523232e+00  -7.889623e-01  6.358917e-17  7.889623e-01  2.220446e-16
    0.900000  1.523232e+00  -0.000000e+00  1.523232e+00  -8.327935e-01  6.712190e-17  8.327935e-01  2.220446e-16
