# Equilibrium Gap vs Temperature
# Generated: 2026-06-10 11:09:14
# T_c = 1.0, eta = 0.2
# time_sampling = 1501, time_duration = 188.49555921538757
#
# Columns: Temperature  Re(Gap)  Im(Gap)  |Gap|  Error
#--------------------------------------------------------------------
    0.100000  1.548963e+00  -0.000000e+00  1.548963e+00  0.000000e+00
    0.134483  1.547519e+00  -0.000000e+00  1.547519e+00  0.000000e+00
    0.168966  1.545343e+00  -0.000000e+00  1.545343e+00  2.220446e-16
    0.203448  1.542024e+00  -0.000000e+00  1.542024e+00  2.220446e-16
    0.237931  1.536997e+00  -0.000000e+00  1.536997e+00  4.440892e-16
    0.272414  1.529631e+00  -0.000000e+00  1.529631e+00  4.440892e-16
    0.306897  1.519297e+00  -0.000000e+00  1.519297e+00  2.220446e-16
    0.341379  1.505409e+00  -0.000000e+00  1.505409e+00  2.220446e-16
    0.375862  1.487415e+00  -0.000000e+00  1.487415e+00  0.000000e+00
    0.410345  1.464788e+00  -0.000000e+00  1.464788e+00  4.440892e-16
    0.444828  1.436994e+00  -0.000000e+00  1.436994e+00  2.220446e-16
    0.479310  1.403465e+00  -0.000000e+00  1.403465e+00  2.220446e-16
    0.513793  1.363556e+00  -0.000000e+00  1.363556e+00  2.220446e-16
    0.548276  1.316498e+00  -0.000000e+00  1.316498e+00  0.000000e+00
    0.582759  1.261328e+00  -0.000000e+00  1.261328e+00  0.000000e+00
    0.617241  1.196780e+00  -0.000000e+00  1.196780e+00  0.000000e+00
    0.651724  1.121104e+00  -0.000000e+00  1.121104e+00  0.000000e+00
    0.686207  1.031733e+00  -0.000000e+00  1.031733e+00  2.220446e-16
    0.720690  9.245891e-01  -0.000000e+00  9.245891e-01  1.110223e-16
    0.755172  7.923772e-01  -0.000000e+00  7.923772e-01  0.000000e+00
    0.789655  6.191021e-01  -0.000000e+00  6.191021e-01  1.110223e-16
    0.824138  3.478748e-01  -0.000000e+00  3.478748e-01  1.110223e-16
    0.858621  3.537017e-08  -0.000000e+00  3.537017e-08  0.000000e+00
    0.893103  -4.435462e-13  0.000000e+00  4.435462e-13  0.000000e+00
    0.927586  4.608959e-08  -0.000000e+00  4.608959e-08  0.000000e+00
    0.962069  -2.698626e-11  0.000000e+00  2.698626e-11  0.000000e+00
    0.996552  1.753462e-08  -0.000000e+00  1.753462e-08  0.000000e+00
    1.031034  -2.203501e-14  0.000000e+00  2.203501e-14  0.000000e+00
    1.065517  2.017472e-13  -0.000000e+00  2.017472e-13  0.000000e+00
    1.100000  2.029505e-16  -0.000000e+00  2.029505e-16  0.000000e+00
